Local time,Open,High,Low,Close,Volume
24.03.2025 02:00:00.000 GMT+0100,1.08370,1.08374,1.08346,1.08346,178.7
24.03.2025 02:01:00.000 GMT+0100,1.08349,1.08356,1.08341,1.08346,234.36
24.03.2025 02:02:00.000 GMT+0100,1.08348,1.08356,1.08334,1.08339,90.45
24.03.2025 02:03:00.000 GMT+0100,1.08340,1.08350,1.08340,1.08347,49.5
24.03.2025 02:04:00.000 GMT+0100,1.08347,1.08352,1.08346,1.08352,32.85
24.03.2025 02:05:00.000 GMT+0100,1.08353,1.08359,1.08332,1.08334,62.58
24.03.2025 02:06:00.000 GMT+0100,1.08334,1.08342,1.08334,1.08340,71.1
24.03.2025 02:07:00.000 GMT+0100,1.08341,1.08346,1.08341,1.08345,50.76
24.03.2025 02:08:00.000 GMT+0100,1.08346,1.08349,1.08333,1.08337,54.3
24.03.2025 02:09:00.000 GMT+0100,1.08339,1.08342,1.08324,1.08342,236.46
24.03.2025 02:10:00.000 GMT+0100,1.08342,1.08345,1.08327,1.08327,201.84
24.03.2025 02:11:00.000 GMT+0100,1.08327,1.08332,1.08319,1.08322,516.03
24.03.2025 02:12:00.000 GMT+0100,1.08323,1.08326,1.08317,1.08325,127.86
24.03.2025 02:13:00.000 GMT+0100,1.08326,1.08345,1.08322,1.08343,90.45
24.03.2025 02:14:00.000 GMT+0100,1.08348,1.08349,1.08344,1.08348,30.69
24.03.2025 02:15:00.000 GMT+0100,1.08350,1.08350,1.08334,1.08341,180.45
24.03.2025 02:16:00.000 GMT+0100,1.08341,1.08342,1.08318,1.08325,147.21
24.03.2025 02:17:00.000 GMT+0100,1.08322,1.08322,1.08304,1.08307,123.3
24.03.2025 02:18:00.000 GMT+0100,1.08309,1.08314,1.08303,1.08312,50.79
24.03.2025 02:19:00.000 GMT+0100,1.08310,1.08313,1.08306,1.08308,48.18
24.03.2025 02:20:00.000 GMT+0100,1.08308,1.08308,1.08284,1.08293,167.85
24.03.2025 02:21:00.000 GMT+0100,1.08291,1.08291,1.08282,1.08288,154.33
24.03.2025 02:22:00.000 GMT+0100,1.08289,1.08294,1.08283,1.08285,131.01
24.03.2025 02:23:00.000 GMT+0100,1.08285,1.08286,1.08273,1.08283,201.18
24.03.2025 02:24:00.000 GMT+0100,1.08282,1.08288,1.08277,1.08278,82.05
24.03.2025 02:25:00.000 GMT+0100,1.08277,1.08281,1.08276,1.08279,68.43
24.03.2025 02:26:00.000 GMT+0100,1.08279,1.08287,1.08276,1.08287,61.2
24.03.2025 02:27:00.000 GMT+0100,1.08286,1.08286,1.08272,1.08272,88.65
24.03.2025 02:28:00.000 GMT+0100,1.08272,1.08275,1.08252,1.08254,184.08
24.03.2025 02:29:00.000 GMT+0100,1.08254,1.08258,1.08254,1.08256,70.29
24.03.2025 02:30:00.000 GMT+0100,1.08256,1.08265,1.08253,1.08253,169.23
24.03.2025 02:31:00.000 GMT+0100,1.08253,1.08272,1.08243,1.08272,362.07
24.03.2025 02:32:00.000 GMT+0100,1.08272,1.08282,1.08269,1.08272,696.37
24.03.2025 02:33:00.000 GMT+0100,1.08274,1.08282,1.08270,1.08276,152.4
24.03.2025 02:34:00.000 GMT+0100,1.08275,1.08286,1.08274,1.08281,96.84
24.03.2025 02:35:00.000 GMT+0100,1.08281,1.08283,1.08255,1.08255,94.11
24.03.2025 02:36:00.000 GMT+0100,1.08256,1.08266,1.08256,1.08259,85.95
24.03.2025 02:37:00.000 GMT+0100,1.08262,1.08273,1.08261,1.08266,107.7
24.03.2025 02:38:00.000 GMT+0100,1.08267,1.08267,1.08260,1.08264,114.12
24.03.2025 02:39:00.000 GMT+0100,1.08260,1.08271,1.08259,1.08266,481.42
24.03.2025 02:40:00.000 GMT+0100,1.08268,1.08273,1.08263,1.08272,147.78
24.03.2025 02:41:00.000 GMT+0100,1.08275,1.08280,1.08265,1.08280,234.4
24.03.2025 02:42:00.000 GMT+0100,1.08280,1.08282,1.08273,1.08277,158.76
24.03.2025 02:43:00.000 GMT+0100,1.08277,1.08279,1.08252,1.08254,77.76
24.03.2025 02:44:00.000 GMT+0100,1.08252,1.08252,1.08240,1.08248,49.86
24.03.2025 02:45:00.000 GMT+0100,1.08248,1.08254,1.08248,1.08248,55.29
24.03.2025 02:46:00.000 GMT+0100,1.08250,1.08256,1.08248,1.08249,23.25
24.03.2025 02:47:00.000 GMT+0100,1.08248,1.08251,1.08229,1.08232,65.39
24.03.2025 02:48:00.000 GMT+0100,1.08232,1.08244,1.08231,1.08243,39.39
24.03.2025 02:49:00.000 GMT+0100,1.08242,1.08244,1.08233,1.08239,167.52
24.03.2025 02:50:00.000 GMT+0100,1.08239,1.08253,1.08238,1.08253,38.7
24.03.2025 02:51:00.000 GMT+0100,1.08255,1.08261,1.08250,1.08253,106.74
24.03.2025 02:52:00.000 GMT+0100,1.08252,1.08253,1.08231,1.08231,189.51
24.03.2025 02:53:00.000 GMT+0100,1.08232,1.08236,1.08226,1.08235,68.4
24.03.2025 02:54:00.000 GMT+0100,1.08235,1.08249,1.08229,1.08248,172.8
24.03.2025 02:55:00.000 GMT+0100,1.08247,1.08247,1.08237,1.08237,32.85
24.03.2025 02:56:00.000 GMT+0100,1.08238,1.08241,1.08231,1.08238,90.45
24.03.2025 02:57:00.000 GMT+0100,1.08240,1.08247,1.08237,1.08239,102.54
24.03.2025 02:58:00.000 GMT+0100,1.08240,1.08260,1.08239,1.08255,134.28
24.03.2025 02:59:00.000 GMT+0100,1.08256,1.08264,1.08256,1.08259,119.25
24.03.2025 03:00:00.000 GMT+0100,1.08260,1.08273,1.08258,1.08272,170.1
24.03.2025 03:01:00.000 GMT+0100,1.08272,1.08274,1.08260,1.08273,99.45
24.03.2025 03:02:00.000 GMT+0100,1.08274,1.08287,1.08272,1.08278,97.2
24.03.2025 03:03:00.000 GMT+0100,1.08282,1.08301,1.08282,1.08301,117.9
24.03.2025 03:04:00.000 GMT+0100,1.08300,1.08307,1.08296,1.08305,111.15
24.03.2025 03:05:00.000 GMT+0100,1.08304,1.08310,1.08299,1.08299,99
24.03.2025 03:06:00.000 GMT+0100,1.08299,1.08304,1.08286,1.08288,76.05
24.03.2025 03:07:00.000 GMT+0100,1.08288,1.08297,1.08288,1.08296,82.59
24.03.2025 03:08:00.000 GMT+0100,1.08297,1.08297,1.08288,1.08292,46.8
24.03.2025 03:09:00.000 GMT+0100,1.08296,1.08313,1.08296,1.08313,35.73
24.03.2025 03:10:00.000 GMT+0100,1.08314,1.08316,1.08306,1.08310,52.2
24.03.2025 03:11:00.000 GMT+0100,1.08310,1.08316,1.08305,1.08316,81
24.03.2025 03:12:00.000 GMT+0100,1.08315,1.08316,1.08297,1.08300,58.95
24.03.2025 03:13:00.000 GMT+0100,1.08300,1.08300,1.08287,1.08290,51.84
24.03.2025 03:14:00.000 GMT+0100,1.08291,1.08295,1.08283,1.08283,60.66
24.03.2025 03:15:00.000 GMT+0100,1.08280,1.08289,1.08276,1.08276,74.07
24.03.2025 03:16:00.000 GMT+0100,1.08276,1.08284,1.08273,1.08281,55.02
24.03.2025 03:17:00.000 GMT+0100,1.08280,1.08284,1.08275,1.08277,69.21
24.03.2025 03:18:00.000 GMT+0100,1.08276,1.08277,1.08267,1.08268,81.45
24.03.2025 03:19:00.000 GMT+0100,1.08268,1.08273,1.08266,1.08268,68.13
24.03.2025 03:20:00.000 GMT+0100,1.08269,1.08278,1.08266,1.08273,75.9
24.03.2025 03:21:00.000 GMT+0100,1.08273,1.08278,1.08269,1.08278,53.31
24.03.2025 03:22:00.000 GMT+0100,1.08278,1.08280,1.08276,1.08277,56.01
24.03.2025 03:23:00.000 GMT+0100,1.08278,1.08280,1.08275,1.08278,42.03
24.03.2025 03:24:00.000 GMT+0100,1.08278,1.08281,1.08276,1.08279,73.41
24.03.2025 03:25:00.000 GMT+0100,1.08279,1.08292,1.08278,1.08292,111.96
24.03.2025 03:26:00.000 GMT+0100,1.08295,1.08300,1.08292,1.08299,69.15
24.03.2025 03:27:00.000 GMT+0100,1.08300,1.08307,1.08298,1.08305,96.57
24.03.2025 03:28:00.000 GMT+0100,1.08305,1.08313,1.08303,1.08312,124.83
24.03.2025 03:29:00.000 GMT+0100,1.08312,1.08319,1.08306,1.08318,167.76
24.03.2025 03:30:00.000 GMT+0100,1.08316,1.08318,1.08302,1.08306,104.34
24.03.2025 03:31:00.000 GMT+0100,1.08305,1.08309,1.08301,1.08302,71.19
24.03.2025 03:32:00.000 GMT+0100,1.08301,1.08304,1.08294,1.08302,53.43
24.03.2025 03:33:00.000 GMT+0100,1.08303,1.08311,1.08300,1.08309,134.67
24.03.2025 03:34:00.000 GMT+0100,1.08310,1.08312,1.08305,1.08307,121.5
24.03.2025 03:35:00.000 GMT+0100,1.08307,1.08308,1.08302,1.08306,65.7
24.03.2025 03:36:00.000 GMT+0100,1.08307,1.08313,1.08303,1.08304,110.25
24.03.2025 03:37:00.000 GMT+0100,1.08303,1.08311,1.08302,1.08305,117
24.03.2025 03:38:00.000 GMT+0100,1.08307,1.08311,1.08304,1.08307,90.9
24.03.2025 03:39:00.000 GMT+0100,1.08305,1.08307,1.08298,1.08298,35.1
24.03.2025 03:40:00.000 GMT+0100,1.08298,1.08299,1.08294,1.08295,68.4
24.03.2025 03:41:00.000 GMT+0100,1.08294,1.08297,1.08289,1.08290,70.2
24.03.2025 03:42:00.000 GMT+0100,1.08290,1.08293,1.08289,1.08291,59.4
24.03.2025 03:43:00.000 GMT+0100,1.08290,1.08290,1.08279,1.08283,63.9
24.03.2025 03:44:00.000 GMT+0100,1.08283,1.08284,1.08280,1.08280,61.2
24.03.2025 03:45:00.000 GMT+0100,1.08282,1.08282,1.08270,1.08271,99.45
24.03.2025 03:46:00.000 GMT+0100,1.08269,1.08271,1.08261,1.08263,80.1
24.03.2025 03:47:00.000 GMT+0100,1.08262,1.08268,1.08261,1.08263,63.9
24.03.2025 03:48:00.000 GMT+0100,1.08262,1.08273,1.08262,1.08268,77.4
24.03.2025 03:49:00.000 GMT+0100,1.08266,1.08272,1.08265,1.08266,80.55
24.03.2025 03:50:00.000 GMT+0100,1.08269,1.08275,1.08269,1.08275,48.6
24.03.2025 03:51:00.000 GMT+0100,1.08274,1.08275,1.08259,1.08261,67.5
24.03.2025 03:52:00.000 GMT+0100,1.08261,1.08267,1.08260,1.08261,91.8
24.03.2025 03:53:00.000 GMT+0100,1.08260,1.08268,1.08255,1.08260,86.4
24.03.2025 03:54:00.000 GMT+0100,1.08259,1.08263,1.08255,1.08261,81
24.03.2025 03:55:00.000 GMT+0100,1.08261,1.08263,1.08255,1.08262,76.86
24.03.2025 03:56:00.000 GMT+0100,1.08261,1.08261,1.08251,1.08252,39.87
24.03.2025 03:57:00.000 GMT+0100,1.08252,1.08264,1.08250,1.08261,40.89
24.03.2025 03:58:00.000 GMT+0100,1.08261,1.08262,1.08246,1.08248,80.31
24.03.2025 03:59:00.000 GMT+0100,1.08246,1.08248,1.08243,1.08248,42.06
24.03.2025 04:00:00.000 GMT+0100,1.08248,1.08262,1.08246,1.08259,100.68
24.03.2025 04:01:00.000 GMT+0100,1.08261,1.08262,1.08255,1.08261,115.32
24.03.2025 04:02:00.000 GMT+0100,1.08263,1.08268,1.08260,1.08266,83.07
24.03.2025 04:03:00.000 GMT+0100,1.08271,1.08291,1.08270,1.08289,147.42
24.03.2025 04:04:00.000 GMT+0100,1.08287,1.08292,1.08286,1.08290,131.13
24.03.2025 04:05:00.000 GMT+0100,1.08289,1.08290,1.08282,1.08284,152.37
24.03.2025 04:06:00.000 GMT+0100,1.08283,1.08287,1.08280,1.08281,155.79
24.03.2025 04:07:00.000 GMT+0100,1.08280,1.08282,1.08274,1.08276,95.34
24.03.2025 04:08:00.000 GMT+0100,1.08277,1.08278,1.08269,1.08270,108.09
24.03.2025 04:09:00.000 GMT+0100,1.08271,1.08273,1.08268,1.08269,67.5
24.03.2025 04:10:00.000 GMT+0100,1.08269,1.08269,1.08265,1.08266,52.65
24.03.2025 04:11:00.000 GMT+0100,1.08265,1.08267,1.08264,1.08267,5.4
24.03.2025 04:12:00.000 GMT+0100,1.08268,1.08275,1.08268,1.08272,41.4
24.03.2025 04:13:00.000 GMT+0100,1.08272,1.08281,1.08272,1.08281,28.8
24.03.2025 04:14:00.000 GMT+0100,1.08282,1.08284,1.08274,1.08275,78.75
24.03.2025 04:15:00.000 GMT+0100,1.08279,1.08279,1.08275,1.08277,71.55
24.03.2025 04:16:00.000 GMT+0100,1.08275,1.08286,1.08275,1.08286,71.91
24.03.2025 04:17:00.000 GMT+0100,1.08287,1.08290,1.08283,1.08286,154.47
24.03.2025 04:18:00.000 GMT+0100,1.08287,1.08287,1.08283,1.08283,92.97
24.03.2025 04:19:00.000 GMT+0100,1.08282,1.08283,1.08275,1.08281,60.75
24.03.2025 04:20:00.000 GMT+0100,1.08280,1.08283,1.08277,1.08282,45.54
24.03.2025 04:21:00.000 GMT+0100,1.08280,1.08282,1.08273,1.08276,177.75
24.03.2025 04:22:00.000 GMT+0100,1.08275,1.08277,1.08275,1.08276,128.88
24.03.2025 04:23:00.000 GMT+0100,1.08275,1.08282,1.08274,1.08282,67.5
24.03.2025 04:24:00.000 GMT+0100,1.08283,1.08287,1.08282,1.08286,213.02
24.03.2025 04:25:00.000 GMT+0100,1.08285,1.08286,1.08284,1.08286,115.2
24.03.2025 04:26:00.000 GMT+0100,1.08285,1.08286,1.08280,1.08285,160.11
24.03.2025 04:27:00.000 GMT+0100,1.08283,1.08284,1.08279,1.08282,165.42
24.03.2025 04:28:00.000 GMT+0100,1.08282,1.08286,1.08280,1.08282,71.91
24.03.2025 04:29:00.000 GMT+0100,1.08280,1.08280,1.08273,1.08274,163.44
24.03.2025 04:30:00.000 GMT+0100,1.08274,1.08275,1.08259,1.08262,173.58
24.03.2025 04:31:00.000 GMT+0100,1.08261,1.08262,1.08260,1.08262,68.58
24.03.2025 04:32:00.000 GMT+0100,1.08262,1.08263,1.08249,1.08255,179.07
24.03.2025 04:33:00.000 GMT+0100,1.08256,1.08261,1.08254,1.08256,148.98
24.03.2025 04:34:00.000 GMT+0100,1.08255,1.08264,1.08255,1.08261,109.92
24.03.2025 04:35:00.000 GMT+0100,1.08259,1.08267,1.08256,1.08264,64.35
24.03.2025 04:36:00.000 GMT+0100,1.08264,1.08269,1.08264,1.08266,45.54
24.03.2025 04:37:00.000 GMT+0100,1.08268,1.08269,1.08264,1.08265,40.41
24.03.2025 04:38:00.000 GMT+0100,1.08266,1.08268,1.08263,1.08266,55.8
24.03.2025 04:39:00.000 GMT+0100,1.08267,1.08271,1.08266,1.08269,34.29
24.03.2025 04:40:00.000 GMT+0100,1.08269,1.08269,1.08261,1.08266,90.72
24.03.2025 04:41:00.000 GMT+0100,1.08264,1.08264,1.08254,1.08259,52.65
24.03.2025 04:42:00.000 GMT+0100,1.08257,1.08258,1.08254,1.08255,33.39
24.03.2025 04:43:00.000 GMT+0100,1.08257,1.08257,1.08252,1.08255,37.35
24.03.2025 04:44:00.000 GMT+0100,1.08255,1.08259,1.08255,1.08256,18.9
24.03.2025 04:45:00.000 GMT+0100,1.08254,1.08257,1.08254,1.08255,21.6
24.03.2025 04:46:00.000 GMT+0100,1.08257,1.08257,1.08240,1.08240,40.5
24.03.2025 04:47:00.000 GMT+0100,1.08241,1.08245,1.08240,1.08242,31.5
24.03.2025 04:48:00.000 GMT+0100,1.08241,1.08245,1.08241,1.08242,56.7
24.03.2025 04:49:00.000 GMT+0100,1.08242,1.08243,1.08236,1.08236,39.6
24.03.2025 04:50:00.000 GMT+0100,1.08234,1.08234,1.08224,1.08226,61.65
24.03.2025 04:51:00.000 GMT+0100,1.08225,1.08239,1.08224,1.08238,120.33
24.03.2025 04:52:00.000 GMT+0100,1.08238,1.08238,1.08232,1.08233,41.4
24.03.2025 04:53:00.000 GMT+0100,1.08235,1.08236,1.08229,1.08230,31.95
24.03.2025 04:54:00.000 GMT+0100,1.08230,1.08231,1.08225,1.08230,62.55
24.03.2025 04:55:00.000 GMT+0100,1.08228,1.08229,1.08212,1.08220,145.89
24.03.2025 04:56:00.000 GMT+0100,1.08223,1.08223,1.08211,1.08213,158.13
24.03.2025 04:57:00.000 GMT+0100,1.08213,1.08217,1.08210,1.08210,112.23
24.03.2025 04:58:00.000 GMT+0100,1.08211,1.08217,1.08206,1.08208,147.33
24.03.2025 04:59:00.000 GMT+0100,1.08209,1.08209,1.08199,1.08202,114.03
24.03.2025 05:00:00.000 GMT+0100,1.08201,1.08214,1.08201,1.08211,137.88
24.03.2025 05:01:00.000 GMT+0100,1.08211,1.08212,1.08208,1.08211,46.8
24.03.2025 05:02:00.000 GMT+0100,1.08210,1.08216,1.08210,1.08210,68.85
